date,month,sample,time,pre_id,pre,attack_in_pre,pre_dur,sp_pred,n_pred,size_pred,action_pred,tte_pred,n_attack,foraging_rate,shoal_size,shoal_density,shoal_area,change_size,change_density,change_area,shoal_beh,tte_shoal_end,switch_rate
25/12/2018,3,1,07:53:11,2512_10,1,1,370,2,2,115,0,177,1,1.6,507,34.3,14.76,17,2.7,-0.639,4,0,8.3
25/12/2018,3,1,07:57:09,2512_11,1,0,132,2,2,123,0,0,0,0,,,,,,,4,0,
25/12/2018,3,1,08:00:27,2512_12,1,0,284,2,1,107,0,0,0,0,434,32.7,13.24,-54,-3.4,-0.28,4,0,6.6
25/12/2018,3,1,08:08:00,2512_13,1,0,170,2,2,123,0,0,0,0,403,28.7,14,30,5.2,-1.28,5,0,3.3
25/12/2018,3,1,08:10:52,2512_14,1,1,67,1,1,108,1,7,3,5,528,40,13.19,-111,9.6,-4.8,2,10,10
25/12/2018,3,1,08:24:08,2512_15,1,1,209,1,2,110,0,198,1,1.6,0,0,0,,,,,,
25/12/2018,3,3,15:43:46,2512_16,1,1,55,1,1,76,1,0,3,5,402,31.1,12.91,112,16.4,-2.1,2,7,3.3
25/12/2018,3,3,15:46:57,2512_17,1,1,28,1,1,78,1,0,1,1.6,214,51.4,4.16,-137,-30.8,-0.42,2,15,1.6
25/12/2018,3,4,23:30:00,2512_18,1,0,539,2,2,102,0,0,0,0,5,0,0,,,,0,0,0
25/12/2018,3,4,23:45:09,2512_19,1,0,330,2,2,121,0,0,0,0,5,0,0,,,,4,0,0
25/12/2018,3,4,00:02:38,2512_20,1,0,312,2,1,121,0,0,0,0,0,0,0,,,,0,0,
25/12/2018,3,4,01:04:00,2512_21,1,0,1058,2,1,121,0,0,0,0,0,0,0,,,,0,0,
26/12/2018,3,1,07:49:47,2612_1,1,1,12,2,2,129,1,0,1,1.6,465,37.6,12.34,-236,-5.2,-5.28,3,9,1.6
26/12/2018,3,1,07:54:03,2612_2,1,1,287,2,1,130,0,243,3,5,438,32.1,13.61,-16,0.1,-0.54,4,22,6.6
26/12/2018,3,1,08:02:36,2612_3,1,0,60,2,2,102,0,0,0,0,521,36.3,14.35,-119,-3.1,-2.23,4,0,3.3
26/12/2018,3,3,15:53:12,2612_4,1,1,151,1,1,68,1,0,5,8.3,539,47.4,11.36,-108,-3,-1.65,2,63,13.3
26/12/2018,3,3,17:24:37,2612_5,1,0,94,2,1,122,0,0,0,0,3,0,0,,,,0,0,0
26/12/2018,3,4,23:34:24,2612_6,1,0,327,2,1,110,0,0,0,0,4,0,0,,,,0,0,0
26/12/2018,3,4,00:20:19,2612_7,1,0,1280,2,1,118,0,0,0,0,0,0,0,,,,0,0,
27/12/2018,3,1,07:28:41,2712_1,1,0,153,2,1,110,0,0,0,0,396,28.3,13.98,-61,0,-2.12,4,0,1.6
27/12/2018,3,1,07:36:02,2712_2,1,1,56,2,1,125,1,0,1,1.6,370,29.2,12.65,54,23.2,-4.57,3,0,5
27/12/2018,3,1,07:38:40,2712_3,1,0,41,2,1,125,0,0,0,0,356,27.3,13.02,-109,-3.5,-2.64,4,0,0
27/12/2018,3,1,08:03:13,2712_4,1,0,149,2,1,115,0,0,0,0,416,31.3,13.28,-1,5.7,-2.1,4,0,1.6
27/12/2018,3,1,08:17:32,2712_5,1,1,14,1,1,84,1,0,1,1.6,414,32,12.91,-143,13.8,-7.01,3,10,3.3
27/12/2018,3,2,12:44:54,2712_6,1,1,73,1,1,84,1,0,2,3.3,18,0,0,,,,1,0,1.6
27/12/2018,3,3,15:53:38,2712_7,1,0,205,2,1,75,0,0,0,0,482,36.2,13.28,-24,6.2,-2.51,5,0,10
27/12/2018,3,3,16:06:17,2712_8,1,1,76,2,1,100,1,0,1,1.6,538,40.4,13.3,-219,-6.9,-3.78,3,0,3.3
27/12/2018,3,3,16:18:45,2712_9,1,0,162,2,1,113,0,0,0,0,489,37.5,13.02,-165,-7.3,-2.3,4,0,3.3
28/12/2018,3,1,07:06:53,2812_1,1,0,120,2,1,116,0,0,0,0,,,,,,,4,0,
28/12/2018,3,1,07:20:45,2812_2,1,0,28,2,1,121,0,0,0,0,,,,,,,4,0,
28/12/2018,3,1,07:28:32,2812_3,1,0,252,2,1,121,0,0,0,0,,,,,,,4,0,
28/12/2018,3,1,07:36:22,2812_4,1,0,158,2,1,118,0,0,0,0,,,,,,,4,0,
28/12/2018,3,1,07:46:28,2812_5,1,1,154,2,1,109,1,3,1,1.6,440,32.7,13.45,-58,3.2,-2.82,3,3,6.6
28/12/2018,3,1,07:50:00,2812_6,1,0,97,2,1,132,0,0,0,0,,,,,,,4,0,
28/12/2018,3,1,07:53:02,2812_7,1,1,500,2,1,132,1,11,1,1.6,456,32.5,14.01,-143,-3.7,-3.13,3,0,6.6
28/12/2018,3,1,08:06:39,2812_8,1,0,359,2,1,118,0,0,0,0,,,,,,,4,0,
28/12/2018,3,1,08:19:44,2812_9,1,0,60,2,1,121,0,0,0,0,,,,,,,4,0,
28/12/2018,3,2,12:36:09,2812_10,1,0,29,2,1,119,0,0,0,0,,,,,,,4,0,
28/12/2018,3,2,12:50:00,2812_11,1,0,290,2,1,134,0,0,0,0,,,,,,,4,0,
28/12/2018,3,2,12:59:15,2812_12,1,0,151,2,1,105,0,0,0,0,,,,,,,4,0,
28/12/2018,3,2,13:25:42,2812_13,1,1,39,1,2,89,1,0,3,5,147,50,2.94,96,-11.7,3.42,2,18,5
28/12/2018,3,2,13:26:36,2812_14,1,0,107,2,1,121,0,0,0,0,,,,,,,0,0,
28/12/2018,3,3,15:47:17,2812_15,1,1,17,2,1,134,1,0,1,1.6,460,35,13.12,-146,2.4,-4.76,3,0,3.3
28/12/2018,3,3,16:06:00,2812_16,1,0,79,2,1,101,0,0,0,0,,,,,,,4,0,
28/12/2018,3,3,16:11:03,2816_17,1,1,528,2,1,113,0,294,1,1.6,,,,,,,4,0,13.3
28/12/2018,3,3,16:24:16,2816_18,1,0,271,2,1,113,0,0,0,0,,,,,,,4,0,
29/12/2018,3,3,15:44:41,2912_1,1,1,4,1,1,89,1,0,1,1.6,235,42,5.59,-235,-42,-5.59,2,1,1.6
29/12/2018,3,3,15:56:35,2912_2,1,1,116,2,1,110,0,38,1,1.6,,,,,,,4,0,6.6
29/12/2018,3,3,16:03:00,2912_3,1,0,58,2,1,110,0,0,0,0,,,,,,,4,0,
29/12/2018,3,3,16:06:41,2912_4,1,0,89,2,1,110,0,0,0,0,,,,,,,4,0,
29/12/2018,3,3,16:09:39,2912_5,1,0,66,2,1,110,0,0,0,0,,,,,,,4,0,
29/12/2018,3,3,16:21:04,2912_6,1,0,55,2,1,110,0,0,0,0,,,,,,,4,0,
